time_s,seq_id,EMG_RH_Env,EMG_LH_Env,L_Angle,R_Angle,L_Torque,R_Torque,Squat_Ph,User_intent
88.113625,9727,0.00173079,0.00898711,-13.96728516,-13.37402344,0.00000000,0.00000000,0.00000000,0.00000000
88.113625,9728,0.00156786,0.00900626,-13.96728516,-13.37402344,0.00000000,0.00000000,0.00000000,0.00000000
88.113625,9729,0.00154843,0.00916204,-13.96728516,-13.37402344,0.00000000,0.00000000,0.00000000,0.00000000
88.144763,9730,0.00140794,0.00921435,-13.96728516,-13.37402344,0.00000000,0.00000000,0.00000000,0.00000000
88.144763,9731,0.00152670,0.00988586,-13.96728516,-13.37402344,0.00000000,0.00000000,0.00000000,0.00000000
88.144763,9732,0.00147993,0.01031968,-13.96728516,-13.37402344,0.00000000,0.00000000,0.00000000,0.00000000
88.175818,9733,0.00143068,0.01106995,-13.96728516,-13.37402344,0.00000000,0.00000000,0.00000000,0.00000000
88.175818,9734,0.00154427,0.01163028,-13.96728516,-13.37402344,0.00000000,0.00000000,0.00000000,0.00000000
88.175818,9735,0.00169429,0.01168916,-13.96728516,-13.37402344,0.00000000,0.00000000,0.00000000,0.00000000
88.207953,9736,0.00142434,0.01215656,-13.96728516,-13.37402344,0.00000000,0.00000000,0.00000000,0.00000000
88.207953,9737,0.00139682,0.01397351,-13.96728516,-13.37402344,0.00000000,0.00000000,0.00000000,0.00000000
88.207953,9738,0.00145275,0.01546173,-13.96728516,-13.37402344,0.00000000,0.00000000,0.00000000,0.00000000
88.207953,9739,0.00205691,0.01638731,-13.96728516,-13.37402344,0.00000000,0.00000000,0.00000000,0.00000000
88.238589,9740,0.00196961,0.01694303,-13.96728516,-13.37402344,0.00000000,0.00000000,0.00000000,0.00000000
88.238589,9741,0.00240246,0.01643645,-13.96728516,-13.37402344,0.00000000,0.00000000,0.00000000,0.00000000
88.238589,9742,0.00305530,0.01519742,-13.96728516,-13.37402344,0.00000000,0.00000000,0.00000000,0.00000000
88.270168,9743,0.00382284,0.01455785,-13.96728516,-13.37402344,0.00000000,0.00000000,0.00000000,0.00000000
88.270168,9744,0.00528995,0.01413928,-13.96728516,-13.37402344,0.00000000,0.00000000,0.00000000,0.00000000
88.270168,9745,0.00705173,0.01338518,-13.96728516,-13.37402344,0.00000000,0.00000000,0.00000000,0.00000000
