time_s,seq_id,EMG_RH_Env,EMG_LH_Env,L_Angle,R_Angle,L_Torque,R_Torque,Squat_Ph,User_intent
134.286626,13871,0.00523048,0.01089333,-9.15527344,-8.60595703,0.00000000,0.00000000,0.00000000,0.00000000
134.286626,13872,0.00530581,0.01065951,-9.15527344,-8.60595703,0.00000000,0.00000000,0.00000000,0.00000000
134.286626,13873,0.00439405,0.01109474,-9.15527344,-8.60595703,0.00000000,0.00000000,0.00000000,0.00000000
134.286626,13874,0.00365132,0.01122520,-9.15527344,-8.60595703,0.00000000,0.00000000,0.00000000,0.00000000
134.318882,13875,0.00387657,0.01109655,-9.15527344,-8.60595703,0.00000000,0.00000000,0.00000000,0.00000000
134.318882,13876,0.00340805,0.01108100,-9.15527344,-8.60595703,0.00000000,0.00000000,0.00000000,0.00000000
134.318882,13877,0.00272188,0.01086903,-9.15527344,-8.60595703,0.00000000,0.00000000,0.00000000,0.00000000
134.350093,13878,0.00252708,0.01160026,-9.15527344,-8.60595703,0.00000000,0.00000000,0.00000000,0.00000000
134.350093,13879,0.00213557,0.01177339,-9.15527344,-8.60595703,0.00000000,0.00000000,0.00000000,0.00000000
134.350093,13880,0.00207286,0.01240407,-9.15527344,-8.60595703,0.00000000,0.00000000,0.00000000,0.00000000
134.381768,13881,0.00187017,0.01206817,-9.15527344,-8.60595703,0.00000000,0.00000000,0.00000000,0.00000000
134.381768,13882,0.00190100,0.01169188,-9.15527344,-8.60595703,0.00000000,0.00000000,0.00000000,0.00000000
134.381768,13883,0.00196457,0.01177407,-9.15527344,-8.60595703,0.00000000,0.00000000,0.00000000,0.00000000
134.416033,13884,0.00188152,0.01090854,-9.15527344,-8.60595703,0.00000000,0.00000000,0.00000000,0.00000000
134.416033,13885,0.00225984,0.01052617,-9.15527344,-8.60595703,0.00000000,0.00000000,0.00000000,0.00000000
134.416033,13886,0.00219016,0.01001601,-9.15527344,-8.60595703,0.00000000,0.00000000,0.00000000,0.00000000
134.449477,13887,0.00184534,0.00971261,-9.15527344,-8.60595703,0.00000000,0.00000000,0.00000000,0.00000000
134.449477,13888,0.00171484,0.00944022,-9.15527344,-8.60595703,0.00000000,0.00000000,0.00000000,0.00000000
134.449477,13889,0.00157344,0.00952998,-9.15527344,-8.60595703,0.00000000,0.00000000,0.00000000,0.00000000
134.477546,13890,0.00156827,0.00951320,-9.15527344,-8.60595703,0.00000000,0.00000000,0.00000000,0.00000000
134.477546,13891,0.00163237,0.00960155,-9.15527344,-8.60595703,0.00000000,0.00000000,0.00000000,0.00000000
134.477546,13892,0.00150538,0.01050119,-9.15527344,-8.60595703,0.00000000,0.00000000,0.00000000,0.00000000
134.477546,13893,0.00185057,0.01087116,-9.15527344,-8.60595703,0.00000000,0.00000000,0.00000000,0.00000000
134.512338,13894,0.00201008,0.01114206,-9.15527344,-8.60595703,0.00000000,0.00000000,0.00000000,0.00000000
134.512338,13895,0.00193363,0.01059444,-9.15527344,-8.60595703,0.00000000,0.00000000,0.00000000,0.00000000
134.512338,13896,0.00187700,0.01083583,-9.15527344,-8.60595703,0.00000000,0.00000000,0.00000000,0.00000000
134.542763,13897,0.00179226,0.01055074,-9.15527344,-8.60595703,0.00000000,0.00000000,0.00000000,0.00000000
134.542763,13898,0.00184038,0.00980142,-9.15527344,-8.60595703,0.00000000,0.00000000,0.00000000,0.00000000
134.542763,13899,0.00196762,0.00947670,-9.15527344,-8.60595703,0.00000000,0.00000000,0.00000000,0.00000000
134.574401,13900,0.00195287,0.00988644,-9.15527344,-8.60595703,0.00000000,0.00000000,0.00000000,0.00000000
